product_id,brand,product_name,bpom_id,genuine_reference,reported_counterfeit_candidate,unknown
NUMBUZIN_NO_1_PANTOTHENIC_B5_ACTIVE_SOOTHING_SERUM_NA26250100033,Numbuzin,No.1 Pantothenic B5 Active Soothing Serum,NA26250100033,8,0,0
PYUNKANG_YUL_ESSENCE_TONER_PAD_NA26241200166,Pyunkang Yul,Essence Toner Pad,NA26241200166,8,1,0
ROUND_LAB_1025_DOKDO_CLEANSER_NA26231200764,Round Lab,1025 Dokdo Cleanser,NA26231200764,8,0,0
ROUND_LAB_PINE_CALMING_CICA_CLEANSER_NA26231200953,Round Lab,Pine Calming Cica Cleanser,NA26231200953,8,0,0
ROUND_LAB_PINE_CALMING_CICA_TONER_NA26231200708,Round Lab,Pine Calming Cica Toner,NA26231200708,8,0,0
SENKA_PERFECT_WHIP_ACNE_CARE_TWINPACK_NA54231200018,Senka,Perfect Whip Acne Care Twinpack,NA54231200018,8,1,0
SENKA_PERFECT_WHIP_COLLAGEN_IN_NA22231200149,Senka,Perfect Whip Collagen in,NA22231200149,8,0,0
SENKA_PERFECT_WHIP_FRESH_NA54231200020,Senka,Perfect Whip Fresh,NA54231200020,8,1,0
SENKA_PERFECT_WHIP_LOW_PH_CALMING_CICA_NA54241200014,Senka,Perfect Whip Low pH Calming Cica,NA54241200014,6,0,0
SENKA_PERFECT_WHIP_LOW_PH_CALMING_CICA_TWINPACK_NA54241200014,Senka,Perfect Whip Low pH Calming Cica Twinpack,NA54241200014,8,0,0
SKINTIFIC_10_PURE_VITAMIN_C_BRIGHTENING_SERUM_NKIT250001190,Skintific,10% Pure Vitamin C Brightening Serum,NKIT250001190,8,1,0
SKINTIFIC_377_DARK_SPOT_ESSENCE_TONER_NA11251200643,Skintific,377 Dark Spot Essence Toner,NA11251200643,8,0,0
SKINTIFIC_AHA_BHA_PHA_EXFOLIATING_PADS_NA11251201488,Skintific,AHA BHA PHA Exfoliating Pads,NA11251201488,8,1,0
SKINTIFIC_RADIANCE_BOOSTER_SERUM_SPRAY_NA11240100454,Skintific,Radiance Booster Serum Spray,NA11240100454,8,0,0
SULWHASOO_CONCENTRATED_GINSENG_BRIGHTENING_SERUM_NA26221900044,Sulwhasoo,Concentrated Ginseng Brightening Serum,NA26221900044,8,1,0
SULWHASOO_CONCENTRATED_GINSENG_REJUVENATING_SERUM_NA26242000060,Sulwhasoo,Concentrated Ginseng Rejuvenating Serum,NA26242000060,6,1,0
SULWHASOO_CONCENTRATED_GINSENG_REJUVENATING_WATER_NA26242000058,Sulwhasoo,Concentrated Ginseng Rejuvenating Water,NA26242000058,8,0,0
SUNGBOON_EDITOR_SUNGBOON_EDITOR_GREEN_TOMATO_DEEP_PORE_CLEAN_ENZYME_POWDER_WASH_NA26251200751,Sungboon Editor,Sungboon Editor Green Tomato Deep Pore Clean Enzyme Powder Wash,NA26251200751,8,0,0
SUNGBOON_EDITOR_SUNGBOON_EDITOR_GREEN_TOMATO_PORE_LIFTING_AMPOULE_MASK_NA26250200355,Sungboon Editor,Sungboon Editor Green Tomato Pore Lifting Ampoule Mask,NA26250200355,8,0,0
SUNGBOON_EDITOR_SUNGBOON_EDITOR_GREEN_TOMATO_PORE_LIFTING_AMPOULE_TONER_NA26251200757,Sungboon Editor,Sungboon Editor Green Tomato Pore Lifting Ampoule Toner,NA26251200757,8,0,0
WARDAH_LIFT_REGENERATING_SERUM_NA18242000770,Wardah,Lift Regenerating Serum,NA18242000770,6,1,0
WARDAH_RADIANT_RESURFACING_SERUM_NA18242000769,Wardah,Radiant Resurfacing Serum,NA18242000769,7,0,0
WHITELAB_17_INTENSIVE_PEELING_SERUM_NA18240118872,Whitelab,17% Intensive Peeling Serum,NA18240118872,8,0,0
