brand_name,product_name,product_id,url,images_from_sociolla,images_from_serper,total_images,serper_status
796_3ce,BLUR WATER TINT,97817,https://www.sociolla.com/lip-tint/69475-blur-water-tint,0,0,0,ok
796_3ce,NEW TAKE EYESHADOW PALETTE,98428,https://www.sociolla.com/eyeshadow/70086-new-take-eyeshadow-palette,0,1,1,ok
796_3ce,MINI MULTI EYE COLOR PALETTE,97833,https://www.sociolla.com/eyeshadow/69491-phan-mat-3ce-mini-multi-eye-color-palette,0,0,0,ok
796_3ce,MULTI EYE COLOR PALETTE,97802,https://www.sociolla.com/eyeshadow/69460-phan-mat-3ce-multi-eye-color-palette,0,0,0,ok
796_3ce,VELVET LIP TINT,97810,https://www.sociolla.com/lip-cream/69468-son-kem-li-3ce-velvet-lip-tint,0,0,0,ok
796_3ce,FACE BLUSH,97801,https://www.sociolla.com/blush/69459-phan-ma-hong-3ce-face-blush,0,0,0,ok
796_3ce,LIP COLOR,97822,https://www.sociolla.com/lip-matte/69480-son-th-i-3ce-matte-lip-color,0,0,0,ok
796_3ce,CLOUD LIP TINT,97818,https://www.sociolla.com/lip-cream/69476-son-kem-li-3ce-cloud-lip-tint,0,1,1,ok
796_3ce,LIQUID PRIMER EYE SHADOW,98363,https://www.sociolla.com/eyeshadow/70021-liquid-primer-eye-shadow,0,0,0,ok
796_3ce,[ 3CE x TOILETPAPER]   MAKEUP FIX POWDER,98429,https://www.sociolla.com/pressed-powder/70087-3ce-x-toiletpaper-makeup-fix-powder,0,1,1,ok
796_3ce,SUPER SLIM EYE BROW PENCIL,98369,https://www.sociolla.com/default-category/70027-super-slim-eye-brow-pencil,0,2,2,ok
796_3ce,Waterproof Mega Volume Mascara,107427,https://www.sociolla.com/mascara/79085-waterproof-mega-volume-mascara,0,0,0,ok
796_3ce,VELVET FIT FOUNDATION,98368,https://www.sociolla.com/foundation/70026-velvet-fit-foundation,0,2,2,ok
796_3ce,SOFT MATTE LIPSTICK,98409,https://www.sociolla.com/lipstick/70067-soft-matte-lipstick,0,1,1,ok
796_3ce,[  3CEx TOILETPAPER]   MOOD RECIPE FACE BLUSH,98433,https://www.sociolla.com/default-category/70091-3cex-toiletpaper-mood-recipe-face-blush,0,1,1,ok
796_3ce,EYE SWITCH,98312,https://www.sociolla.com/eyeshadow/69970-eye-switch,0,0,0,ok
796_3ce,SYRUP LAYERING TINT,98430,https://www.sociolla.com/lip-tint/70088-syrup-layering-tint,0,0,0,ok
796_3ce,EYEBROW MASCARA,97803,https://www.sociolla.com/mascara/69461-chuot-long-may-3ce-eyebrow-mascara,0,3,3,ok
796_3ce,NEW TAKE FACE BLUSHER,98431,https://www.sociolla.com/blush/70089-new-take-face-blusher,0,0,0,ok
796_3ce,TATTOO LIP TINT,102642,https://www.sociolla.com/lip-tint/74300-tattoo-lip-tint,0,1,1,ok
796_3ce,Glaze Lip Tint,107426,https://www.sociolla.com/lip-tint/79084-glaze-lip-tint,0,9,9,ok
796_3ce,[ 3CE x TOILETPAPER]   FACE BLUSH,98434,https://www.sociolla.com/blush/70092-3ce-x-toiletpaper-face-blush,0,9,9,ok
796_3ce,Plumping Lips,107425,https://www.sociolla.com/lip-tint/79083-plumping-lips,0,9,9,ok
796_3ce,[ 3CE x TOILETPAPER]   VELVET LIP TINT,98435,https://www.sociolla.com/lip-tint/70093-3ce-x-toiletpaper-velvet-lip-tint,0,0,0,ok
796_3ce,SUPER SLIM PEN EYE LINER,98370,https://www.sociolla.com/eyeliner/70028-super-slim-pen-eye-liner,0,9,9,ok
751_abib,Yuja Essence Vitalizing Pump,91209,https://www.sociolla.com/essence/62867-yuja-essence-vitalizing-pump,0,10,10,ok
751_abib,Heartleaf Essence Calming Pump,91887,https://www.sociolla.com/essence/63545-heartleaf-essence-calming-pump,0,10,10,ok
751_abib,Heartleaf Spot Pad Calming Touch,91204,https://www.sociolla.com/skin-care-set/62862-heartleaf-spot-pad-calming-touch,0,9,9,ok
796_3ce,[ 3CE x TOILETPAPER]   MULTI EYE COLOR PALETTE,98432,https://www.sociolla.com/eyeshadow/70090-3ce-x-toiletpaper-multi-eye-color-palette,0,9,9,ok
751_abib,Quick Sunstick Protection Bar,91207,https://www.sociolla.com/sunscreen/62865-quick-sunstick-protection-bar,0,10,10,ok
751_abib,Heartleaf Sun Essence Calming Drop,91895,https://www.sociolla.com/essence/63553-heartleaf-sun-essence-calming-drop,0,10,10,ok
751_abib,Heartleaf Calming Toner Skin Booster,91206,https://www.sociolla.com/toner/62864-heartleaf-calming-toner-skin-booster,0,10,10,ok
751_abib,Jericho Rose Creme Nutrition Tube,98624,https://www.sociolla.com/face-cream-lotion/70282-jericho-rose-creme-nutrition-tube,0,9,9,ok
751_abib,Rebalancing Emulsion Skin Booster,91886,https://www.sociolla.com/face-cream-lotion/63544-rebalancing-emulsion-skin-booster,0,7,7,ok
751_abib,Gummy Sheet Mask Milk Sticker,91194,https://www.sociolla.com/sheet-mask/62852-gummy-sheet-mask-milk-sticker,0,9,9,ok
751_abib,Rebalancing Toner Skin Booster,91885,https://www.sociolla.com/toner/63543-rebalancing-toner-skin-booster,0,9,9,ok
751_abib,Heartleaf Facial Mist Calming Spray Set,106156,https://www.sociolla.com/toner/77814-heartleaf-facial-mist-calming-spray-set,0,10,10,ok
751_abib,Gummy Sheet Mask Heartleaf Sticker,91195,https://www.sociolla.com/sheet-mask/62853-gummy-sheet-mask-heartleaf-sticker,0,9,9,ok
751_abib,Acne Foam Cleanser Heartleaf Foam,91203,https://www.sociolla.com/face-wash/62861-acne-foam-cleanser-heartleaf-foam,0,9,9,ok
751_abib,Rice Probiotics Overnight Mask Barrier Jelly,98614,https://www.sociolla.com/wash-off-mask/70272-rice-probiotics-overnight-mask-barrier-jelly,0,10,10,ok
751_abib,Mild Acidic pH sheet Mask Heartleaf Fit,91201,https://www.sociolla.com/sheet-mask/62859-mild-acidic-ph-sheet-mask-heartleaf-fit,0,10,10,ok
751_abib,Protective Lip Balm Block Stick,98611,https://www.sociolla.com/skincare/70269-protective-lip-balm-block-stick,0,10,10,ok
751_abib,Jericho Rose Essence Nutrition Pump,98609,https://www.sociolla.com/essence/70267-jericho-rose-essence-nutrition-pump,0,10,10,ok
751_abib,Moisturizing Lip Balm Tube,98610,https://www.sociolla.com/skincare/70268-moisturizing-lip-balm-tube,0,7,7,ok
751_abib,Pine Needle Pore Pad Clear Touch,91889,https://www.sociolla.com/toner/63547-pine-needle-pore-pad-clear-touch,0,10,10,ok
751_abib,Calming Facial Soap Heartleaf Stone,98608,https://www.sociolla.com/cleansing-bar/70266-calming-facial-soap-heartleaf-stone,0,10,10,ok
