brand_name,product_name,product_id,beauty_point_earned,price_range,price_by_combinations,url,active_date,default_category,categories,rating_types_str,average_rating,total_reviews,average_rating_by_types,total_recommended_count,total_repurchase_maybe_count,total_repurchase_no_count,total_repurchase_yes_count,total_in_wishlist,image_folder_name,image_folder_path,image_count
796_3ce,LIQUID PRIMER EYE SHADOW,98363,50,Rp 264.000,,https://www.sociolla.com/eyeshadow/70021-liquid-primer-eye-shadow,2022-09-30T17:09:43.152Z,Eyeshadow,Makeup; Eyes; Eyeshadow,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.975,2,"""star_long_wear"": 5; ""star_packaging"": 5; ""star_pigmentation"": 5; ""star_texture"": 4.875; ""star_value_for_money"": 5",8,0,0,8,335,796_3ce_98363,SafeCart_Dataset/images/796_3ce_98363,10
796_3ce,Waterproof Mega Volume Mascara,107427,70,Rp 352.000,,https://www.sociolla.com/mascara/79085-waterproof-mega-volume-mascara,2023-11-08T10:59:27.091Z,Mascara,Makeup; Eyes; Mascara,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,0.0,0,,0,0,0,0,7,796_3ce_107427,SafeCart_Dataset/images/796_3ce_107427,9
796_3ce,[ 3CE x TOILETPAPER]   MAKEUP FIX POWDER,98429,110,Rp 581.000,,https://www.sociolla.com/pressed-powder/70087-3ce-x-toiletpaper-makeup-fix-powder,2022-12-11T14:59:10.389Z,Pressed Powder,Makeup; Face; Pressed Powder,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,5.0,3,"""star_long_wear"": 5; ""star_packaging"": 5; ""star_pigmentation"": 5; ""star_texture"": 5; ""star_value_for_money"": 5",4,0,0,4,109,796_3ce_98429,SafeCart_Dataset/images/796_3ce_98429,10
796_3ce,SOFT MATTE LIPSTICK,98409,60,Rp 317.000,,https://www.sociolla.com/lipstick/70067-soft-matte-lipstick,2022-09-30T17:10:12.816Z,Lipstick,Makeup; Lips; Lipstick,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.844444444444445,4,"""star_long_wear"": 4.777777777777778; ""star_packaging"": 4.888888888888889; ""star_pigmentation"": 4.888888888888889; ""star_texture"": 4.888888888888889; ""star_value_for_money"": 4.777777777777778",9,0,0,9,243,796_3ce_98409,SafeCart_Dataset/images/796_3ce_98409,10
796_3ce,EYEBROW MASCARA,97803,50,Rp 219.000 - Rp 264.000,,https://www.sociolla.com/mascara/69461-chuot-long-may-3ce-eyebrow-mascara,2022-10-03T03:33:20.771Z,Mascara,Makeup; Eyes; Mascara,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.7333333333333325,5,"""star_long_wear"": 4.777777777777778; ""star_packaging"": 4.777777777777778; ""star_pigmentation"": 4.777777777777778; ""star_texture"": 4.777777777777778; ""star_value_for_money"": 4.555555555555555",9,0,1,8,28,796_3ce_97803,SafeCart_Dataset/images/796_3ce_97803,9
796_3ce,[  3CEx TOILETPAPER]   MOOD RECIPE FACE BLUSH,98433,70,Rp 352.000,,https://www.sociolla.com/default-category/70091-3cex-toiletpaper-mood-recipe-face-blush,2022-12-11T14:59:42.326Z,Blush,Makeup; Face; Blush,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,0.0,0,,0,0,0,0,17,796_3ce_98433,SafeCart_Dataset/images/796_3ce_98433,9
796_3ce,EYE SWITCH,98312,50,Rp 264.000,,https://www.sociolla.com/eyeshadow/69970-eye-switch,2022-09-30T17:01:17.844Z,Eyeshadow,Makeup; Eyes; Eyeshadow,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,5.0,2,"""star_long_wear"": 5; ""star_packaging"": 5; ""star_pigmentation"": 5; ""star_texture"": 5; ""star_value_for_money"": 5",6,0,0,6,285,796_3ce_98312,SafeCart_Dataset/images/796_3ce_98312,8
796_3ce,SYRUP LAYERING TINT,98430,50,Rp 264.000,,https://www.sociolla.com/lip-tint/70088-syrup-layering-tint,2022-12-11T14:54:04.189Z,Lip Tint,Makeup; Lips; Lip Tint,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.876923076923077,5,"""star_long_wear"": 4.769230769230769; ""star_packaging"": 4.923076923076923; ""star_pigmentation"": 4.923076923076923; ""star_texture"": 4.846153846153846; ""star_value_for_money"": 4.923076923076923",12,0,1,12,395,796_3ce_98430,SafeCart_Dataset/images/796_3ce_98430,10
796_3ce,NEW TAKE FACE BLUSHER,98431,70,Rp 352.000,,https://www.sociolla.com/blush/70089-new-take-face-blusher,2022-12-11T15:00:16.328Z,Blush,Makeup; Face; Blush,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,5.0,1,"""star_long_wear"": 5; ""star_packaging"": 5; ""star_pigmentation"": 5; ""star_texture"": 5; ""star_value_for_money"": 5",6,0,0,6,252,796_3ce_98431,SafeCart_Dataset/images/796_3ce_98431,8
796_3ce,TATTOO LIP TINT,102642,40,Rp 229.000,"""#CANDY JELLY"": 229000; ""#LUZTIC"": 229000; ""#YAY OR NAY"": 229000",https://www.sociolla.com/lip-tint/74300-tattoo-lip-tint,2023-03-13T04:04:51.181Z,Lip Tint,Makeup; Lips; Lip Tint,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,5.0,2,"""star_long_wear"": 5; ""star_packaging"": 5; ""star_pigmentation"": 5; ""star_texture"": 5; ""star_value_for_money"": 5",7,0,0,7,148,796_3ce_102642,SafeCart_Dataset/images/796_3ce_102642,9
